subject,trial,session_pitch,throwing_hand,pitch_speed_mph,body_mass_kg,height_m,release_time_s,lead_foot_contact_time_s,shoulder_ir_moment_peak_Nm,shoulder_ir_moment_peak_time_s,elbow_varus_moment_peak_Nm,elbow_varus_moment_peak_time_s,shoulder_distraction_force_peak_N,shoulder_moment_norm_peak_Nm,elbow_moment_norm_peak_Nm,shoulder_force_norm_peak_N,elbow_force_norm_peak_N,rear_hip_moment_peak_Nm,rear_knee_moment_peak_Nm,rear_ankle_moment_peak_Nm,lead_hip_moment_peak_Nm,lead_knee_moment_peak_Nm,lead_ankle_moment_peak_Nm,lumbar_moment_peak_Nm,trunk_closure_residual_fraction,unmatched_plate_frames,flag,obp_shoulder_ir_moment_Nm,obp_elbow_varus_moment_Nm
000072,000072_002996_76_229_001_FF_889,2996_1,R,88.9000,103.8744,1.9304,1.3917,1.2250,172.5881,1.3444,180.8472,1.3417,1763.3017,388.1548,185.0975,1920.4249,1728.7991,181.2663,153.2179,72.9590,438.3075,226.8923,206.3961,446.2686,0.1638,171,,161.1478,177.9026
000072,000072_002996_76_229_005_FF_894,2996_2,R,89.4000,103.8744,1.9304,1.3694,1.2083,175.9275,1.3194,182.0605,1.3167,1836.7576,424.5132,203.2903,1990.9678,1739.6442,174.3879,199.1959,80.7626,458.5346,209.0396,181.3430,392.6996,0.1441,179,,171.7355,190.7178
000072,000072_002996_76_229_006_FF_887,2996_3,R,88.7000,103.8744,1.9304,1.3750,1.2194,183.7543,1.3222,189.5142,1.3750,1794.1514,422.0387,201.7998,1937.5053,1730.4920,221.2073,54.1570,28.3434,462.2116,227.6035,183.4757,471.8832,0.1423,198,,181.4586,199.9297
000072,000072_002996_76_229_007_FF_863,2996_4,R,86.3000,103.8744,1.9304,1.3333,1.1500,162.2529,1.2833,167.1381,1.2806,1668.6156,389.9893,174.9851,1816.9837,1595.8855,292.0601,183.9777,78.5003,403.0398,244.8210,246.0140,519.0571,0.1998,194,,162.5005,178.7209
000090,000090_003044_74_253_002_FF_871,3044_1,R,87.1000,114.7608,1.8796,1.6250,1.4222,116.2172,1.5889,114.5315,1.5806,1582.4600,231.9971,115.1688,1671.4382,1694.0403,498.5692,189.2831,127.7591,388.5865,314.8943,63.5400,548.5846,0.2273,8,,117.5145,120.3580
000090,000090_003044_74_253_003_FF_873,3044_2,R,87.3000,114.7608,1.8796,1.7000,1.4917,107.8242,1.6611,115.0608,1.6556,1602.1690,287.3746,115.6253,1613.6499,1646.0329,468.1324,183.4054,135.6701,383.2378,330.6070,67.0557,516.6997,0.2626,8,,109.3725,110.5606
000090,000090_003044_74_253_004_FF_878,3044_3,R,87.8000,114.7608,1.8796,1.6250,1.4361,120.3329,1.5833,120.5761,1.5778,1728.3502,273.0924,121.0757,1783.3762,1760.4028,433.5075,201.4955,98.0987,468.7324,249.1701,55.1351,531.4533,0.2685,8,,122.5288,125.2786
000090,000090_003044_74_253_005_FF_878,3044_4,R,87.8000,114.7608,1.8796,1.9639,1.7528,115.2941,1.9222,117.9620,1.9194,1741.7834,261.5428,118.5760,1820.3241,1770.8431,508.8104,199.1838,134.3060,414.2153,318.2495,71.9099,568.9079,0.3063,7,,118.7634,121.8823
000090,000090_003044_74_253_006_FF_878,3044_5,R,87.8000,114.7608,1.8796,2.0861,1.8694,106.9918,2.0472,112.4329,2.0417,1529.1533,256.6410,112.5913,1615.3148,1665.3621,469.1462,198.8365,142.4715,404.2064,307.2871,62.8199,473.9973,0.2869,8,,109.9357,109.3332
000511,000511_001688_78_235_003_FF_931,1688_1,R,93.1000,106.5960,1.9812,1.6639,1.4889,127.0893,1.6444,116.7717,1.6167,1340.7837,244.7353,120.9743,1429.3278,1618.9740,320.8241,330.2638,131.5006,380.5735,176.5816,87.8475,434.6116,0.3003,44,,122.8980,128.5671
000511,000511_001688_78_235_004_FF_914,1688_2,R,91.4000,106.5960,1.9812,1.5694,1.4139,118.0756,1.5528,113.0672,1.5833,1364.8045,249.5748,115.4052,1459.4408,1579.9029,331.7443,320.5090,118.7998,426.6084,131.1936,101.6969,472.2165,0.2609,13,,116.3486,122.3966
000538,000538_001808_72_217_002_FF_811,1808_1,R,81.1000,98.4312,1.8288,1.3667,1.2111,99.8977,1.3278,96.4752,1.3194,1186.7112,199.5449,100.3023,1239.7283,1324.5456,484.0809,349.8947,131.3603,310.6347,245.9206,154.5253,429.5766,0.3303,35,,98.3314,101.2425
